# MEAN_SAMPLE_SIZE = 562
# TOTAL_GENES = 18
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, inverse mac, log(gene size), log(inverse mac)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:west_adren...        SET       2      0.15046     0.048657      0.23371      0.26591 Curated_gene_sets:west_adrenocortical_tumor_dn
Curated_gene_sets:yoshimura_...        SET       5     -0.22893     -0.10551      0.15984       0.9112 Curated_gene_sets:yoshimura_mapk8_targets_up
Curated_gene_sets:chen_metab...        SET       2      0.23895     0.077271      0.26815       0.1952 Curated_gene_sets:chen_metabolic_syndrom_network
Curated_gene_sets:meissner_b...        SET       3     -0.24491    -0.093918       0.1835      0.89662 Curated_gene_sets:meissner_brain_hcp_with_h3k4me3_and_h3k27me3
Curated_gene_sets:mikkelsen_...2       SET       2      0.15046     0.048657      0.23371      0.26591 Curated_gene_sets:mikkelsen_mef_icp_with_h3k4me3_and_h3k27me3
Curated_gene_sets:cairo_hepa...        SET       2      0.12213     0.039495       0.2859      0.33841 Curated_gene_sets:cairo_hepatoblastoma_classes_up
Curated_gene_sets:chandran_m...        SET       2     -0.22146    -0.071615      0.31894      0.74966 Curated_gene_sets:chandran_metastasis_dn
Curated_gene_sets:mikkelsen_...1       SET       2      0.20413     0.066011      0.22466      0.19072 Curated_gene_sets:mikkelsen_es_icp_with_h3k4me3
Curated_gene_sets:mikkelsen_...3       SET       2      0.20413     0.066011      0.22466      0.19072 Curated_gene_sets:mikkelsen_npc_icp_with_h3k4me3
Curated_gene_sets:kim_all_di...2       SET       2     -0.23817    -0.077019      0.24464      0.82525 Curated_gene_sets:kim_all_disorders_oligodendrocyte_number_corr_up
Curated_gene_sets:kim_all_di...1       SET       2      0.20023     0.064751      0.22068      0.19105 Curated_gene_sets:kim_all_disorders_calb1_corr_up
Curated_gene_sets:chicas_rb1...        SET       3      0.13992     0.053655      0.23255       0.2793 Curated_gene_sets:chicas_rb1_targets_growing
Curated_gene_sets:wang_respo...        SET       2    -0.037474    -0.012118      0.37748      0.53872 Curated_gene_sets:wang_response_to_gsk3_inhibitor_sb216763_up
Curated_gene_sets:pilon_klf1...        SET       3     0.084659     0.032465      0.25427      0.37246 Curated_gene_sets:pilon_klf1_targets_dn
Curated_gene_sets:bruins_uvc...2       SET       2     -0.46416      -0.1501      0.29861      0.92697 Curated_gene_sets:bruins_uvc_response_via_tp53_group_a
Curated_gene_sets:bruins_uvc...1       SET       2      0.10042     0.032472      0.25171      0.34847 Curated_gene_sets:bruins_uvc_response_late
Curated_gene_sets:lee_bmp2_t...        SET       3      0.13448     0.051572      0.25381      0.30293 Curated_gene_sets:lee_bmp2_targets_dn
Curated_gene_sets:gobert_oli...        SET       3     0.068376     0.026221      0.23807      0.38943 Curated_gene_sets:gobert_oligodendrocyte_differentiation_dn
Curated_gene_sets:durand_str...        SET       2     0.022164    0.0071674      0.22899      0.46225 Curated_gene_sets:durand_stroma_ns_up
Curated_gene_sets:zwang_tran...        SET       2     -0.34172      -0.1105      0.21674      0.92957 Curated_gene_sets:zwang_transiently_up_by_1st_egf_pulse_only
Curated_gene_sets:florio_neo...        SET       2      0.05487     0.017744      0.29254      0.42718 Curated_gene_sets:florio_neocortex_basal_radial_glia_up
GO_bp:go_ion_transport                 SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_bp:go_ion_transport
GO_bp:go_neurological_system...        SET       3     -0.29586     -0.11346      0.17803      0.93879 GO_bp:go_neurological_system_process
GO_bp:go_response_to_nitroge...        SET       2      0.24518     0.079286      0.22986      0.15356 GO_bp:go_response_to_nitrogen_compound
GO_bp:go_sensory_perception            SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_bp:go_sensory_perception
GO_bp:go_cell_part_morphogen...        SET       2       0.4758      0.15386      0.39158      0.12385 GO_bp:go_cell_part_morphogenesis
GO_bp:go_single_organism_beh...        SET       3     -0.19941    -0.076472      0.18432      0.84972 GO_bp:go_single_organism_behavior
GO_bp:go_regulation_of_hydro...        SET       3      0.14728      0.05648       0.1998      0.23761 GO_bp:go_regulation_of_hydrolase_activity
GO_bp:go_cytoskeleton_organi...        SET       2     -0.24123     -0.07801      0.21792        0.855 GO_bp:go_cytoskeleton_organization
GO_bp:go_metal_ion_transport           SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_bp:go_metal_ion_transport
GO_bp:go_cell_death                    SET       2     -0.24123     -0.07801      0.21792        0.855 GO_bp:go_cell_death
GO_bp:go_negative_regulation...3       SET       2     -0.12688     -0.04103       0.2317        0.703 GO_bp:go_negative_regulation_of_locomotion
GO_bp:go_cell_cell_signaling           SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_bp:go_cell_cell_signaling
GO_bp:go_monovalent_inorgani...        SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_bp:go_monovalent_inorganic_cation_transport
GO_bp:go_regulation_of_cellu...1       SET       3     -0.30329     -0.11631      0.17198      0.94838 GO_bp:go_regulation_of_cellular_component_biogenesis
GO_bp:go_regulation_of_membr...        SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_bp:go_regulation_of_membrane_potential
GO_bp:go_cation_transport              SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_bp:go_cation_transport
GO_bp:go_positive_regulation...2       SET       3      0.14728      0.05648       0.1998      0.23761 GO_bp:go_positive_regulation_of_hydrolase_activity
GO_bp:go_protein_oligomeriza...        SET       3      0.31611      0.12122      0.24095      0.10705 GO_bp:go_protein_oligomerization
GO_bp:go_response_to_endogen...        SET       3      0.14066     0.053941      0.23769      0.28249 GO_bp:go_response_to_endogenous_stimulus
GO_bp:go_nucleic_acid_phosph...        SET       2      0.14482     0.046833      0.37224      0.35202 GO_bp:go_nucleic_acid_phosphodiester_bond_hydrolysis
GO_bp:go_positive_regulation...1       SET       3      0.14728      0.05648       0.1998      0.23761 GO_bp:go_positive_regulation_of_catalytic_activity
GO_bp:go_response_to_externa...        SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_bp:go_response_to_external_stimulus
GO_bp:go_ion_transmembrane_t...        SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_bp:go_ion_transmembrane_transport
GO_bp:go_protein_complex_bio...        SET       3      0.31611      0.12122      0.24095      0.10705 GO_bp:go_protein_complex_biogenesis
GO_bp:go_cell_junction_organ...        SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_bp:go_cell_junction_organization
GO_bp:go_positive_regulation...3       SET       3      0.14728      0.05648       0.1998      0.23761 GO_bp:go_positive_regulation_of_molecular_function
GO_bp:go_cellular_response_t...2       SET       2      0.11162     0.036096      0.37136      0.38444 GO_bp:go_cellular_response_to_organic_substance
GO_bp:go_cellular_amide_meta...        SET       2      0.49976      0.16161       0.1771     0.007704 GO_bp:go_cellular_amide_metabolic_process
GO_bp:go_macromolecular_comp...        SET       3      0.31611      0.12122      0.24095      0.10705 GO_bp:go_macromolecular_complex_assembly
GO_bp:go_amide_biosynthetic_...        SET       2      0.49976      0.16161       0.1771     0.007704 GO_bp:go_amide_biosynthetic_process
GO_bp:go_g_protein_coupled_r...        SET       2    -0.090153    -0.029154      0.24445      0.64065 GO_bp:go_g_protein_coupled_receptor_signaling_pathway
GO_bp:go_regulation_of_respo...        SET       2    -0.090727    -0.029339      0.25385       0.6365 GO_bp:go_regulation_of_response_to_stress
GO_bp:go_phosphate_containin...        SET       2    -0.016257   -0.0052572       0.2376      0.52671 GO_bp:go_phosphate_containing_compound_metabolic_process
GO_bp:go_response_to_oxygen_...        SET       2      0.24518     0.079286      0.22986      0.15356 GO_bp:go_response_to_oxygen_containing_compound
GO_bp:go_negative_regulation...2       SET       2     -0.31305     -0.10124      0.21986      0.91002 GO_bp:go_negative_regulation_of_cell_death
GO_bp:go_neurogenesis                  SET       2      0.63964      0.20685      0.26288     0.015773 GO_bp:go_neurogenesis
GO_bp:go_growth                        SET       2   -0.0052433   -0.0016956      0.27188      0.50753 GO_bp:go_growth
GO_bp:go_system_process                SET       3     -0.29586     -0.11346      0.17803      0.93879 GO_bp:go_system_process
GO_bp:go_synaptic_signaling            SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_bp:go_synaptic_signaling
GO_bp:go_positive_regulation...4       SET       2      0.15893     0.051396      0.22661      0.24823 GO_bp:go_positive_regulation_of_protein_metabolic_process
GO_bp:go_response_to_abiotic...        SET       2      0.12648       0.0409      0.24618      0.30838 GO_bp:go_response_to_abiotic_stimulus
GO_bp:go_regulation_of_syste...        SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_bp:go_regulation_of_system_process
GO_bp:go_cell_cycle                    SET       2     0.087881     0.028419      0.23631      0.35823 GO_bp:go_cell_cycle
GO_bp:go_organonitrogen_comp...2       SET       2      0.49976      0.16161       0.1771     0.007704 GO_bp:go_organonitrogen_compound_metabolic_process
GO_bp:go_cellular_component_...        SET       2       0.4758      0.15386      0.39158      0.12385 GO_bp:go_cellular_component_morphogenesis
GO_bp:go_regulation_of_anato...        SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_bp:go_regulation_of_anatomical_structure_morphogenesis
GO_bp:go_protein_homooligome...        SET       3      0.31611      0.12122      0.24095      0.10705 GO_bp:go_protein_homooligomerization
GO_bp:go_cell_junction_assem...        SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_bp:go_cell_junction_assembly
GO_bp:go_regulation_of_cell_...2       SET       3      -0.3443     -0.13203      0.17032      0.96695 GO_bp:go_regulation_of_cell_death
GO_bp:go_negative_regulation...5       SET       3     -0.15713    -0.060258      0.19161      0.78592 GO_bp:go_negative_regulation_of_response_to_stimulus
GO_bp:go_cellular_response_t...1       SET       2     -0.42455     -0.13729      0.30782       0.9035 GO_bp:go_cellular_response_to_endogenous_stimulus
GO_bp:go_organonitrogen_comp...1       SET       2      0.49976      0.16161       0.1771     0.007704 GO_bp:go_organonitrogen_compound_biosynthetic_process
GO_bp:go_regulation_of_cell_...1       SET       2     -0.12688     -0.04103       0.2317        0.703 GO_bp:go_regulation_of_cell_adhesion
GO_bp:go_protein_complex_sub...        SET       3      0.31611      0.12122      0.24095      0.10705 GO_bp:go_protein_complex_subunit_organization
GO_bp:go_locomotory_behavior           SET       3     -0.19941    -0.076472      0.18432      0.84972 GO_bp:go_locomotory_behavior
GO_bp:go_regulation_of_cellu...2       SET       2     -0.12688     -0.04103       0.2317        0.703 GO_bp:go_regulation_of_cellular_component_movement
GO_bp:go_regulation_of_trans...2       SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_bp:go_regulation_of_transport
GO_bp:go_reproduction                  SET       2      0.24518     0.079286      0.22986      0.15356 GO_bp:go_reproduction
GO_bp:go_regulation_of_ion_t...        SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_bp:go_regulation_of_ion_transport
GO_bp:go_cellular_response_t...3       SET       3      0.44815      0.17186      0.21094     0.027545 GO_bp:go_cellular_response_to_stress
GO_bp:go_regulation_of_cell_...4       SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_bp:go_regulation_of_cell_shape
GO_bp:go_cell_development              SET       2      0.63964      0.20685      0.26288     0.015773 GO_bp:go_cell_development
GO_bp:go_negative_regulation...4       SET       2    -0.063739    -0.020612      0.24684      0.59969 GO_bp:go_negative_regulation_of_multicellular_organismal_process
GO_bp:go_transmembrane_trans...        SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_bp:go_transmembrane_transport
GO_bp:go_inorganic_ion_trans...        SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_bp:go_inorganic_ion_transmembrane_transport
GO_bp:go_central_nervous_sys...        SET       3    -0.053685    -0.020587      0.20489      0.60112 GO_bp:go_central_nervous_system_development
GO_bp:go_behavior                      SET       3     -0.19941    -0.076472      0.18432      0.84972 GO_bp:go_behavior
GO_bp:go_regulation_of_gtpas...        SET       3      0.14728      0.05648       0.1998      0.23761 GO_bp:go_regulation_of_gtpase_activity
GO_bp:go_biological_adhesion           SET       3     -0.24298    -0.093177      0.19036      0.88701 GO_bp:go_biological_adhesion
GO_bp:go_tissue_development            SET       2     -0.11923    -0.038555      0.23642      0.68841 GO_bp:go_tissue_development
GO_bp:go_negative_regulation...1       SET       4     -0.19396    -0.082976      0.16928      0.86289 GO_bp:go_negative_regulation_of_cell_communication
GO_bp:go_regulation_of_trans...1       SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_bp:go_regulation_of_transmembrane_transport
GO_bp:go_regulation_of_cell_...3       SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_bp:go_regulation_of_cell_morphogenesis
GO_cc:go_nuclear_envelope              SET       2      0.12213     0.039495       0.2859      0.33841 GO_cc:go_nuclear_envelope
GO_cc:go_cytoplasmic_region            SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_cc:go_cytoplasmic_region
GO_cc:go_actin_cytoskeleton            SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_cc:go_actin_cytoskeleton
GO_cc:go_neuron_part                   SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_cc:go_neuron_part
GO_cc:go_intrinsic_component...        SET       4    -0.060149    -0.025731      0.21222      0.60916 GO_cc:go_intrinsic_component_of_plasma_membrane
GO_cc:go_postsynapse                   SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_cc:go_postsynapse
GO_cc:go_endoplasmic_reticul...2       SET       2      0.12213     0.039495       0.2859      0.33841 GO_cc:go_endoplasmic_reticulum_part
GO_cc:go_cell_junction                 SET       3     -0.25256    -0.096852      0.19275      0.89269 GO_cc:go_cell_junction
GO_cc:go_cytoskeletal_part             SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_cc:go_cytoskeletal_part
GO_cc:go_cytoskeleton                  SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_cc:go_cytoskeleton
GO_cc:go_cell_substrate_junc...        SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_cc:go_cell_substrate_junction
GO_cc:go_synapse                       SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_cc:go_synapse
GO_cc:go_neuron_projection             SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_cc:go_neuron_projection
GO_cc:go_mitochondrial_part            SET       2      0.14482     0.046833      0.37224      0.35202 GO_cc:go_mitochondrial_part
GO_cc:go_mitochondrion                 SET       3    -0.014256   -0.0054668      0.23257      0.52393 GO_cc:go_mitochondrion
GO_cc:go_transporter_complex           SET       2      0.11791     0.038129       0.2461      0.32024 GO_cc:go_transporter_complex
GO_cc:go_side_of_membrane              SET       2    -0.090153    -0.029154      0.24445      0.64065 GO_cc:go_side_of_membrane
GO_cc:go_membrane_protein_co...        SET       3      0.11613     0.044532      0.21437      0.29897 GO_cc:go_membrane_protein_complex
GO_cc:go_nuclear_outer_membr...        SET       2      0.12213     0.039495       0.2859      0.33841 GO_cc:go_nuclear_outer_membrane_endoplasmic_reticulum_membrane_network
GO_cc:go_anchoring_junction            SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_cc:go_anchoring_junction
GO_cc:go_cell_cortex                   SET       2     -0.21702    -0.070182      0.22746      0.82058 GO_cc:go_cell_cortex
GO_cc:go_plasma_membrane_reg...        SET       2     -0.33654     -0.10883      0.23093      0.91465 GO_cc:go_plasma_membrane_region
GO_cc:go_cell_body                     SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_cc:go_cell_body
GO_cc:go_cell_projection               SET       4     -0.22041    -0.094291      0.18702      0.86929 GO_cc:go_cell_projection
GO_cc:go_cell_projection_part          SET       2      -0.4174     -0.13498      0.20176      0.96959 GO_cc:go_cell_projection_part
GO_cc:go_somatodendritic_com...        SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_cc:go_somatodendritic_compartment
GO_cc:go_envelope                      SET       3      0.28484      0.10923      0.24315      0.13208 GO_cc:go_envelope
GO_cc:go_endoplasmic_reticul...1       SET       3    -0.032451    -0.012445       0.2371       0.5533 GO_cc:go_endoplasmic_reticulum
GO_cc:go_membrane_region               SET       2     -0.33654     -0.10883      0.23093      0.91465 GO_cc:go_membrane_region
GO_cc:go_synapse_part                  SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_cc:go_synapse_part
GO_cc:go_plasma_membrane_pro...        SET       2       0.2917      0.09433      0.23983      0.12363 GO_cc:go_plasma_membrane_protein_complex
GO_cc:go_dendrite                      SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_cc:go_dendrite
GO_mf:go_signal_transducer_a...        SET       4    -0.060527    -0.025893      0.18359      0.62634 GO_mf:go_signal_transducer_activity
GO_mf:go_monovalent_inorgani...        SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_mf:go_monovalent_inorganic_cation_transmembrane_transporter_activity
GO_mf:go_metal_ion_transmemb...        SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_mf:go_metal_ion_transmembrane_transporter_activity
GO_mf:go_gated_channel_activ...        SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_mf:go_gated_channel_activity
GO_mf:go_ligand_gated_channe...        SET       2     -0.38817     -0.12553      0.22165       0.9473 GO_mf:go_ligand_gated_channel_activity
GO_mf:go_passive_transmembra...        SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_mf:go_passive_transmembrane_transporter_activity
GO_mf:go_cation_transmembran...        SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_mf:go_cation_transmembrane_transporter_activity
GO_mf:go_hydrolase_activity_...        SET       3      0.13448     0.051572      0.25381      0.30293 GO_mf:go_hydrolase_activity_acting_on_ester_bonds
GO_mf:go_nuclease_activity             SET       2      0.14482     0.046833      0.37224      0.35202 GO_mf:go_nuclease_activity
GO_mf:go_signaling_receptor_...        SET       2    -0.063739    -0.020612      0.24684      0.59969 GO_mf:go_signaling_receptor_activity
GO_mf:go_enzyme_activator_ac...        SET       2     -0.15063    -0.048712      0.22966      0.73787 GO_mf:go_enzyme_activator_activity
GO_mf:go_molecular_function_...        SET       3      0.14728      0.05648       0.1998      0.23761 GO_mf:go_molecular_function_regulator
GO_mf:go_transition_metal_io...        SET       2     -0.15643    -0.050588       0.2395      0.73702 GO_mf:go_transition_metal_ion_binding
GO_mf:go_nucleoside_triphosp...        SET       2     -0.15063    -0.048712      0.22966      0.73787 GO_mf:go_nucleoside_triphosphatase_regulator_activity
GO_mf:go_inorganic_cation_tr...        SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_mf:go_inorganic_cation_transmembrane_transporter_activity
GO_mf:go_transmembrane_trans...        SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_mf:go_transmembrane_transporter_activity
GO_mf:go_enzyme_regulator_ac...        SET       2     -0.15063    -0.048712      0.22966      0.73787 GO_mf:go_enzyme_regulator_activity
GO_mf:go_zinc_ion_binding              SET       2     -0.15643    -0.050588       0.2395      0.73702 GO_mf:go_zinc_ion_binding
GO_mf:go_poly_a_rna_binding            SET       2      0.14482     0.046833      0.37224      0.35202 GO_mf:go_poly_a_rna_binding
GO_mf:go_receptor_activity             SET       3     -0.25255    -0.096849      0.20609      0.87804 GO_mf:go_receptor_activity
GO_mf:go_transporter_activity          SET       3      -0.1125     -0.04314      0.21711      0.69312 GO_mf:go_transporter_activity
GO_mf:go_rna_binding                   SET       3      0.44815      0.17186      0.21094     0.027545 GO_mf:go_rna_binding
GO_mf:go_cation_channel_acti...        SET       2    -0.018857    -0.006098       0.2566      0.52869 GO_mf:go_cation_channel_activity
GO_mf:go_transferase_activit...        SET       2     0.087881     0.028419      0.23631      0.35823 GO_mf:go_transferase_activity_transferring_phosphorus_containing_groups
